58796	698195	0.1	0.100082	1	Plague
58797	466990	0.1	0.124701	1	Plague
58798	466990	0.1	0.124389	1	Plague
58799	349807	0.1	0.145212	1	Plague
58800	400000	0.1	0.145556	1	Plague
58801	436000	0.1	0.145755	1	Plague
58802	470000	0.1	0.1454	1	Plague
58803	554600	0.1	0.146006	1	Plague
58804	654428	0.1	0.145787	1	Plague
58805	713327	0.1	0.145838	1	Plague
58806	900000	0.1	0.145837	1	Plague
58807	1000000	0.1	0.145868	1	Plague
58808	1100000	0.1	0.146033	1	Plague
58809	1100000	0.1	0.146191	1	Plague
58810	1100000	0.1	0.145959	1	Plague
58811	1100000	0.1	0.146175	1	Plague
58812	1100000	0.1	0.146312	1	Plague
58813	1100000	0.1	0.14625	1	Plague
58814	1100000	0.1	0.146176	1	Plague
58815	1100000	0.1	0.14621	1	Plague
58816	1100000	0.1	0.146036	1	Plague
58817	1100000	0.1	0.146119	1	Plague
58818	1100000	0.1	0.146205	1	Plague
58796	698195	0.1	0.104401	2	Plague
58797	466092	0.1	0.130937	2	Plague
58798	466092	0.1	0.131121	2	Plague
58799	349769	0.1	0.152554	2	Plague
58800	400000	0.1	0.15297	2	Plague
58801	436000	0.1	0.15342	2	Plague
58802	470000	0.1	0.154002	2	Plague
58803	554600	0.1	0.154284	2	Plague
58804	654428	0.1	0.154185	2	Plague
58805	713327	0.1	0.154202	2	Plague
58806	900000	0.1	0.153978	2	Plague
58807	1000000	0.1	0.154143	2	Plague
58808	1100000	0.1	0.1539	2	Plague
58809	1100000	0.1	0.154257	2	Plague
58810	1100000	0.1	0.154137	2	Plague
58811	1100000	0.1	0.154346	2	Plague
58812	1100000	0.1	0.154052	2	Plague
58813	1100000	0.1	0.153969	2	Plague
58814	1100000	0.1	0.153792	2	Plague
58815	1100000	0.1	0.15406	2	Plague
58816	1100000	0.1	0.153903	2	Plague
58817	1100000	0.1	0.153714	2	Plague
58818	1100000	0.1	0.153403	2	Plague
58796	698195	0.1	0.102391	3	Plague
58797	467301	0.1	0.127579	3	Plague
58798	467301	0.1	0.127694	3	Plague
58799	350169	0.1	0.148892	3	Plague
58800	400000	0.1	0.149631	3	Plague
58801	436000	0.1	0.149998	3	Plague
58802	470000	0.1	0.150284	3	Plague
58803	554600	0.1	0.150526	3	Plague
58804	654428	0.1	0.150303	3	Plague
58805	713327	0.1	0.150514	3	Plague
58806	900000	0.1	0.150578	3	Plague
58807	1000000	0.1	0.150887	3	Plague
58808	1100000	0.1	0.150812	3	Plague
58809	1100000	0.1	0.151027	3	Plague
58810	1100000	0.1	0.151396	3	Plague
58811	1100000	0.1	0.151943	3	Plague
58812	1100000	0.1	0.151748	3	Plague
58813	1100000	0.1	0.151686	3	Plague
58814	1100000	0.1	0.151655	3	Plague
58815	1100000	0.1	0.151459	3	Plague
58816	1100000	0.1	0.151445	3	Plague
58817	1100000	0.1	0.151723	3	Plague
58818	1100000	0.1	0.151511	3	Plague
58796	698195	0.1	0.101617	4	Plague
58797	466656	0.1	0.126913	4	Plague
58798	466656	0.1	0.126814	4	Plague
58799	350545	0.1	0.14748	4	Plague
58800	400000	0.1	0.147081	4	Plague
58801	436000	0.1	0.147375	4	Plague
58802	470000	0.1	0.146837	4	Plague
58803	554600	0.1	0.14648	4	Plague
58804	654428	0.1	0.146186	4	Plague
58805	713327	0.1	0.14595	4	Plague
58806	900000	0.1	0.146276	4	Plague
58807	1000000	0.1	0.146526	4	Plague
58808	1100000	0.1	0.146412	4	Plague
58809	1100000	0.1	0.145987	4	Plague
58810	1100000	0.1	0.146102	4	Plague
58811	1100000	0.1	0.146042	4	Plague
58812	1100000	0.1	0.145926	4	Plague
58813	1100000	0.1	0.146006	4	Plague
58814	1100000	0.1	0.146123	4	Plague
58815	1100000	0.1	0.146139	4	Plague
58816	1100000	0.1	0.146315	4	Plague
58817	1100000	0.1	0.146247	4	Plague
58818	1100000	0.1	0.146249	4	Plague
58796	698195	0.1	0.103998	5	Plague
58797	466484	0.1	0.130415	5	Plague
58798	466484	0.1	0.130352	5	Plague
58799	349917	0.1	0.151949	5	Plague
58800	400000	0.1	0.152161	5	Plague
58801	436000	0.1	0.152338	5	Plague
58802	470000	0.1	0.151901	5	Plague
58803	554600	0.1	0.151565	5	Plague
58804	654428	0.1	0.151399	5	Plague
58805	713327	0.1	0.151553	5	Plague
58806	900000	0.1	0.151599	5	Plague
58807	1000000	0.1	0.151509	5	Plague
58808	1100000	0.1	0.151585	5	Plague
58809	1100000	0.1	0.151866	5	Plague
58810	1100000	0.1	0.151662	5	Plague
58811	1100000	0.1	0.15148	5	Plague
58812	1100000	0.1	0.15135	5	Plague
58813	1100000	0.1	0.151322	5	Plague
58814	1100000	0.1	0.151465	5	Plague
58815	1100000	0.1	0.151526	5	Plague
58816	1100000	0.1	0.151316	5	Plague
58817	1100000	0.1	0.151571	5	Plague
58818	1100000	0.1	0.151835	5	Plague
58796	698195	0.1	0.102342	6	Plague
58797	467128	0.1	0.127475	6	Plague
58798	467128	0.1	0.127142	6	Plague
58799	350285	0.1	0.148695	6	Plague
58800	400000	0.1	0.148621	6	Plague
58801	436000	0.1	0.148673	6	Plague
58802	470000	0.1	0.148987	6	Plague
58803	554600	0.1	0.148844	6	Plague
58804	654428	0.1	0.148859	6	Plague
58805	713327	0.1	0.149744	6	Plague
58806	900000	0.1	0.150275	6	Plague
58807	1000000	0.1	0.150088	6	Plague
58808	1100000	0.1	0.149978	6	Plague
58809	1100000	0.1	0.150056	6	Plague
58810	1100000	0.1	0.149912	6	Plague
58811	1100000	0.1	0.150136	6	Plague
58812	1100000	0.1	0.150083	6	Plague
58813	1100000	0.1	0.150034	6	Plague
58814	1100000	0.1	0.15022	6	Plague
58815	1100000	0.1	0.150272	6	Plague
58816	1100000	0.1	0.150413	6	Plague
58817	1100000	0.1	0.150361	6	Plague
58818	1100000	0.1	0.150443	6	Plague
58796	698195	0.1	0.100922	7	Plague
58797	466575	0.1	0.126188	7	Plague
58798	466575	0.1	0.12657	7	Plague
58799	350371	0.1	0.147859	7	Plague
58800	400000	0.1	0.14748	7	Plague
58801	436000	0.1	0.147587	7	Plague
58802	470000	0.1	0.14739	7	Plague
58803	554600	0.1	0.146952	7	Plague
58804	654428	0.1	0.147101	7	Plague
58805	713327	0.1	0.147135	7	Plague
58806	900000	0.1	0.146687	7	Plague
58807	1000000	0.1	0.146819	7	Plague
58808	1100000	0.1	0.146608	7	Plague
58809	1100000	0.1	0.146755	7	Plague
58810	1100000	0.1	0.146565	7	Plague
58811	1100000	0.1	0.14657	7	Plague
58812	1100000	0.1	0.146511	7	Plague
58813	1100000	0.1	0.146625	7	Plague
58814	1100000	0.1	0.147191	7	Plague
58815	1100000	0.1	0.146943	7	Plague
58816	1100000	0.1	0.146929	7	Plague
58817	1100000	0.1	0.146738	7	Plague
58818	1100000	0.1	0.146847	7	Plague
58796	698195	0.1	0.101018	8	Plague
58797	466647	0.1	0.126791	8	Plague
58798	466647	0.1	0.1267	8	Plague
58799	349973	0.1	0.147657	8	Plague
